landmark_id,category
0,http://commons.wikimedia.org/wiki/Category:Isa_Khan_Niyazi's_tomb
1,http://commons.wikimedia.org/wiki/Category:Kopaonik
2,http://commons.wikimedia.org/wiki/Category:Niagara_Falls
3,http://commons.wikimedia.org/wiki/Category:Brompton_Cemetery
4,http://commons.wikimedia.org/wiki/Category:Castle_Heeswijk
5,http://commons.wikimedia.org/wiki/Category:Ellora_Caves
6,http://commons.wikimedia.org/wiki/Category:Kardzhali_History_Museum
7,http://commons.wikimedia.org/wiki/Category:Feroz_Shah_Kotla
8,"http://commons.wikimedia.org/wiki/Category:Qutb_Minar_and_its_monuments,_Delhi"
9,http://commons.wikimedia.org/wiki/Category:Botanical_Garden_Jevremovac
